1/100: weights=[1.998 0.002], train_loss=[0.80495673 1.8267747 ], train_acc=[0.73514167 0.337625  ], test_loss=[0.77619183 1.8099256 ], test_acc=[0.7421 0.3413]
36/100: weights=[1.9909829  0.00901713], train_loss=[0.22865705 0.92620564], train_acc=[0.92534167 0.678325  ], test_loss=[0.29702213 0.9001119 ], test_acc=[0.90375 0.688  ]
38/100: weights=[1.9939048  0.00609515], train_loss=[0.22045141 0.9183199 ], train_acc=[0.92770833 0.68095833], test_loss=[0.28936774 0.8957999 ], test_acc=[0.9059 0.6877]
40/100: weights=[1.9926453  0.00735471], train_loss=[0.22626577 0.91904944], train_acc=[0.92575833 0.68081667], test_loss=[0.29792845 0.8925247 ], test_acc=[0.90535 0.68895]
42/100: weights=[1.998 0.002], train_loss=[0.22294614 0.91120493], train_acc=[0.92760833 0.68386667], test_loss=[0.29445326 0.88147545], test_acc=[0.9051  0.69355]
44/100: weights=[1.9908185  0.00918145], train_loss=[0.21996859 0.90373003], train_acc=[0.92823333 0.68609167], test_loss=[0.2946687  0.88376766], test_acc=[0.90565 0.69215]
46/100: weights=[1.9925667  0.00743328], train_loss=[0.21154708 0.8899244 ], train_acc=[0.931275 0.691675], test_loss=[0.28966638 0.8698524 ], test_acc=[0.90635 0.69775]
48/100: weights=[1.9963453  0.00365474], train_loss=[0.20991273 0.8935222 ], train_acc=[0.93213333 0.69225833], test_loss=[0.28922904 0.8713623 ], test_acc=[0.9064  0.69805]
50/100: weights=[1.947955   0.05204494], train_loss=[0.21124883 0.8869052 ], train_acc=[0.93114167 0.69284167], test_loss=[0.29045182 0.862409  ], test_acc=[0.9065  0.70065]
52/100: weights=[1.9941759  0.00582407], train_loss=[0.20898627 0.8854188 ], train_acc=[0.93200833 0.69359167], test_loss=[0.29112062 0.86266804], test_acc=[0.9059 0.7017]
54/100: weights=[1.9763739  0.02362614], train_loss=[0.20634334 0.8775909 ], train_acc=[0.93278333 0.69700833], test_loss=[0.2892072 0.8548678], test_acc=[0.9084 0.7051]
56/100: weights=[1.998 0.002], train_loss=[0.20754738 0.87306   ], train_acc=[0.93258333 0.69790833], test_loss=[0.29119235 0.8500179 ], test_acc=[0.9068 0.7038]
58/100: weights=[1.9575996  0.04240039], train_loss=[0.2055388  0.87272793], train_acc=[0.93320833 0.70005   ], test_loss=[0.2904751  0.85291207], test_acc=[0.9064  0.70575]
60/100: weights=[1.998 0.002], train_loss=[0.20198002 0.8663988 ], train_acc=[0.93440833 0.70228333], test_loss=[0.2876404 0.8432889], test_acc=[0.90755 0.7101 ]
62/100: weights=[1.9622054  0.03779454], train_loss=[0.20011483 0.8673726 ], train_acc=[0.93553333 0.70168333], test_loss=[0.2874148  0.84477526], test_acc=[0.90835 0.709  ]
64/100: weights=[1.9866067  0.01339328], train_loss=[0.1997346 0.862325 ], train_acc=[0.93530833 0.70355   ], test_loss=[0.28848273 0.8420352 ], test_acc=[0.90775 0.70995]
66/100: weights=[1.9910574 0.0089426], train_loss=[0.19949533 0.8627092 ], train_acc=[0.93545 0.7029 ], test_loss=[0.2874271  0.84118634], test_acc=[0.90795 0.7095 ]
68/100: weights=[1.972542  0.0274579], train_loss=[0.1987047 0.8611483], train_acc=[0.936    0.704575], test_loss=[0.28886178 0.84004563], test_acc=[0.90765 0.71225]
70/100: weights=[1.9355999  0.06440014], train_loss=[0.19851534 0.8584885 ], train_acc=[0.93580833 0.70491667], test_loss=[0.28954706 0.8392499 ], test_acc=[0.90725 0.7106 ]
72/100: weights=[1.9825656  0.01743433], train_loss=[0.19852117 0.8543943 ], train_acc=[0.93535833 0.707125  ], test_loss=[0.29040346 0.8334123 ], test_acc=[0.9053  0.71335]
74/100: weights=[1.9797393  0.02026073], train_loss=[0.19798931 0.8548114 ], train_acc=[0.93610833 0.70601667], test_loss=[0.28928456 0.83535665], test_acc=[0.90695 0.71305]
76/100: weights=[1.989684   0.01031596], train_loss=[0.19610833 0.8522505 ], train_acc=[0.936625   0.70661667], test_loss=[0.28817236 0.8324555 ], test_acc=[0.90775 0.71365]
78/100: weights=[1.9967605  0.00323953], train_loss=[0.1958071 0.8511341], train_acc=[0.9364   0.707275], test_loss=[0.28923017 0.83178174], test_acc=[0.9069 0.7134]
80/100: weights=[1.9874486  0.01255148], train_loss=[0.19582398 0.850599  ], train_acc=[0.93659167 0.70775   ], test_loss=[0.28885603 0.8303045 ], test_acc=[0.9069  0.71355]
82/100: weights=[1.9726117  0.02738838], train_loss=[0.19554405 0.85100573], train_acc=[0.93666667 0.707775  ], test_loss=[0.28882846 0.8325299 ], test_acc=[0.90705 0.71385]
84/100: weights=[1.9697834  0.03021656], train_loss=[0.19541198 0.84857655], train_acc=[0.937025   0.70874167], test_loss=[0.28864676 0.8280632 ], test_acc=[0.90785 0.71515]
86/100: weights=[1.941472   0.05852789], train_loss=[0.19500114 0.84782594], train_acc=[0.93699167 0.708375  ], test_loss=[0.2887136  0.82779765], test_acc=[0.9071  0.71485]
88/100: weights=[1.9611915  0.03880847], train_loss=[0.19464988 0.8462467 ], train_acc=[0.93704167 0.7097    ], test_loss=[0.28861374 0.8261189 ], test_acc=[0.90755 0.7153 ]
90/100: weights=[1.9913139  0.00868604], train_loss=[0.19457914 0.8452464 ], train_acc=[0.937025 0.70975 ], test_loss=[0.288436 0.825012], test_acc=[0.90765 0.7155 ]
92/100: weights=[1.996039   0.00396099], train_loss=[0.19400929 0.846111  ], train_acc=[0.93743333 0.709225  ], test_loss=[0.28924257 0.8258702 ], test_acc=[0.9076 0.7156]
94/100: weights=[1.9869069  0.01309307], train_loss=[0.19399823 0.84581435], train_acc=[0.93708333 0.70949167], test_loss=[0.2896748  0.82681143], test_acc=[0.9071 0.7151]
96/100: weights=[1.989375   0.01062499], train_loss=[0.19371541 0.8451585 ], train_acc=[0.93755833 0.70994167], test_loss=[0.2888691 0.8250754], test_acc=[0.90755 0.71535]
98/100: weights=[1.9588635  0.04113649], train_loss=[0.19364344 0.8443389 ], train_acc=[0.93765833 0.71023333], test_loss=[0.28909606 0.82429826], test_acc=[0.9074  0.71555]
100/100: weights=[1.9866647  0.01333535], train_loss=[0.19384092 0.8441046 ], train_acc=[0.93736667 0.71058333], test_loss=[0.28983232 0.8244794 ], test_acc=[0.90745 0.7159 ]
