Reference vector (1/18): 0.9965845, 0.082579345
1/100: weights=[0.64714986 1.3528502 ], train_loss=[1.886674  2.0196874], train_acc=[0.33758333 0.299125  ], test_loss=[1.8804067 2.0031583], test_acc=[0.3363  0.30795]
52/100: weights=[1.2890227 0.7109773], train_loss=[0.53792816 0.6112322 ], train_acc=[0.82665    0.79520833], test_loss=[0.5276412 0.6075558], test_acc=[0.8261  0.79795]
54/100: weights=[1.3753844  0.62461555], train_loss=[0.52940077 0.6073334 ], train_acc=[0.8287  0.79615], test_loss=[0.51737946 0.6022299 ], test_acc=[0.8299 0.7981]
56/100: weights=[1.1368977 0.8631024], train_loss=[0.5262601 0.5992109], train_acc=[0.82968333 0.798175  ], test_loss=[0.51387906 0.59395206], test_acc=[0.8311  0.80105]
58/100: weights=[0.93951565 1.0604844 ], train_loss=[0.5193929  0.59825987], train_acc=[0.83193333 0.79934167], test_loss=[0.50624514 0.5951117 ], test_acc=[0.8338  0.80155]
60/100: weights=[1.1330637 0.8669363], train_loss=[0.5103088 0.58328  ], train_acc=[0.83530833 0.80501667], test_loss=[0.49814644 0.5817681 ], test_acc=[0.83555 0.80605]
62/100: weights=[1.0652899 0.9347102], train_loss=[0.50495964 0.5822811 ], train_acc=[0.83711667 0.8053    ], test_loss=[0.4951512  0.58251876], test_acc=[0.837  0.8047]
64/100: weights=[1.060951   0.93904907], train_loss=[0.49958754 0.5717314 ], train_acc=[0.83918333 0.80800833], test_loss=[0.48972622 0.5694605 ], test_acc=[0.83955 0.8107 ]
66/100: weights=[0.52421945 1.4757805 ], train_loss=[0.49772212 0.56853807], train_acc=[0.840075   0.80931667], test_loss=[0.48910582 0.5708476 ], test_acc=[0.83915 0.80985]
68/100: weights=[0.69531083 1.3046892 ], train_loss=[0.4881191  0.56349546], train_acc=[0.842925   0.81014167], test_loss=[0.47944412 0.5633513 ], test_acc=[0.84315 0.81145]
70/100: weights=[0.6360551 1.3639449], train_loss=[0.485998  0.5627007], train_acc=[0.84349167 0.809825  ], test_loss=[0.4760666 0.5629467], test_acc=[0.84285 0.8112 ]
72/100: weights=[1.0429574 0.9570425], train_loss=[0.48213637 0.5560469 ], train_acc=[0.84431667 0.812575  ], test_loss=[0.47125453 0.5552731 ], test_acc=[0.847   0.81595]
74/100: weights=[1.2054982 0.7945018], train_loss=[0.47483966 0.55207235], train_acc=[0.84729167 0.81365833], test_loss=[0.46614313 0.5557437 ], test_acc=[0.8466  0.81515]
76/100: weights=[0.766255 1.233745], train_loss=[0.47027454 0.54333633], train_acc=[0.84888333 0.81725833], test_loss=[0.46077728 0.54483074], test_acc=[0.84865 0.8177 ]
78/100: weights=[0.58427733 1.4157227 ], train_loss=[0.46914592 0.53970873], train_acc=[0.84899167 0.818375  ], test_loss=[0.46010146 0.5419545 ], test_acc=[0.84905 0.81955]
80/100: weights=[0.62107074 1.3789293 ], train_loss=[0.4641515 0.5379943], train_acc=[0.85185833 0.81934167], test_loss=[0.45731702 0.5433514 ], test_acc=[0.84835 0.81975]
82/100: weights=[1.3628887  0.63711125], train_loss=[0.4600253 0.5318111], train_acc=[0.852      0.82156667], test_loss=[0.45086148 0.535874  ], test_acc=[0.8527 0.8207]
84/100: weights=[1.5377436  0.46225637], train_loss=[0.45702627 0.5359196 ], train_acc=[0.8527     0.81951667], test_loss=[0.4499194 0.5358262], test_acc=[0.8526 0.822 ]
86/100: weights=[0.78340036 1.2165997 ], train_loss=[0.4593937 0.5242046], train_acc=[0.85205833 0.82395833], test_loss=[0.4492343  0.52780634], test_acc=[0.85085 0.82365]
88/100: weights=[1.0218506 0.9781494], train_loss=[0.44535202 0.520605  ], train_acc=[0.85678333 0.824925  ], test_loss=[0.43772233 0.52431846], test_acc=[0.85545 0.82385]
90/100: weights=[0.8568403 1.1431597], train_loss=[0.4495915  0.52099216], train_acc=[0.85506667 0.82569167], test_loss=[0.44143435 0.5269425 ], test_acc=[0.85625 0.82375]
92/100: weights=[0.68117887 1.3188212 ], train_loss=[0.44139573 0.51407415], train_acc=[0.85835833 0.82634167], test_loss=[0.43414536 0.51670134], test_acc=[0.85445 0.82765]
94/100: weights=[0.5491528 1.4508473], train_loss=[0.43332386 0.5093864 ], train_acc=[0.8606   0.829025], test_loss=[0.42658776 0.51264787], test_acc=[0.8601 0.8286]
96/100: weights=[1.0344477  0.96555233], train_loss=[0.43072432 0.51094353], train_acc=[0.86146667 0.8276    ], test_loss=[0.4264766  0.51478934], test_acc=[0.8587  0.82735]
98/100: weights=[1.2367988 0.7632012], train_loss=[0.42714742 0.50296795], train_acc=[0.86246667 0.83129167], test_loss=[0.42183888 0.5065023 ], test_acc=[0.85895 0.8309 ]
100/100: weights=[1.0300893  0.96991074], train_loss=[0.42547795 0.50094527], train_acc=[0.86268333 0.83096667], test_loss=[0.418507  0.5043883], test_acc=[0.8628  0.83185]
Reference vector (2/18): 0.9863613, 0.16459459
1/100: weights=[1.003228 0.996772], train_loss=[1.5048456 1.9434559], train_acc=[0.48135    0.32879167], test_loss=[1.4997851 1.9466054], test_acc=[0.48265 0.33085]
2/100: weights=[1.0922093  0.90779066], train_loss=[1.3224734 1.6301454], train_acc=[0.552725 0.4432  ], test_loss=[1.3111398 1.6325123], test_acc=[0.55555 0.44575]
4/100: weights=[0.74463606 1.255364  ], train_loss=[1.1305431 1.3634741], train_acc=[0.62831667 0.53998333], test_loss=[1.1093606 1.3723172], test_acc=[0.63325 0.5421 ]
6/100: weights=[1.5412439  0.45875612], train_loss=[1.006095  1.2147896], train_acc=[0.67054167 0.59143333], test_loss=[0.9803826 1.2268271], test_acc=[0.67625 0.5889 ]
8/100: weights=[0.870139 1.129861], train_loss=[0.9069856 1.0983756], train_acc=[0.70603333 0.62915833], test_loss=[0.88480175 1.109191  ], test_acc=[0.71    0.62225]
10/100: weights=[1.3933598 0.6066402], train_loss=[0.82537687 1.010966  ], train_acc=[0.73225 0.65705], test_loss=[0.8000173 1.020954 ], test_acc=[0.7371 0.6538]
12/100: weights=[1.0436542  0.95634586], train_loss=[0.76351273 0.940149  ], train_acc=[0.75221667 0.680725  ], test_loss=[0.7407387 0.9503276], test_acc=[0.7552 0.6771]
14/100: weights=[0.93205166 1.0679483 ], train_loss=[0.7163979 0.8891239], train_acc=[0.767125   0.69833333], test_loss=[0.6951685 0.8999054], test_acc=[0.7706 0.6964]
16/100: weights=[1.1865239 0.813476 ], train_loss=[0.67822206 0.8443551 ], train_acc=[0.7803     0.71230833], test_loss=[0.6604545  0.85367984], test_acc=[0.7828 0.7116]
18/100: weights=[1.0016421  0.99835795], train_loss=[0.6511923 0.805543 ], train_acc=[0.79015    0.72638333], test_loss=[0.63199884 0.8146019 ], test_acc=[0.79375 0.72565]
20/100: weights=[1.0451967 0.9548033], train_loss=[0.6235379 0.7760123], train_acc=[0.79931667 0.73715833], test_loss=[0.605915 0.785322], test_acc=[0.80345 0.7372 ]
22/100: weights=[0.7020683 1.2979317], train_loss=[0.6048035 0.7497887], train_acc=[0.80481667 0.74579167], test_loss=[0.589154  0.7571854], test_acc=[0.80895 0.7437 ]
24/100: weights=[1.2832563  0.71674377], train_loss=[0.58281875 0.72675353], train_acc=[0.81250833 0.75289167], test_loss=[0.56832576 0.7334128 ], test_acc=[0.81385 0.75385]
26/100: weights=[0.8943392 1.1056608], train_loss=[0.56749153 0.7050947 ], train_acc=[0.81734167 0.76085833], test_loss=[0.55491555 0.71104187], test_acc=[0.81985 0.76035]
28/100: weights=[0.8201059 1.1798941], train_loss=[0.55153346 0.6855484 ], train_acc=[0.8223     0.76724167], test_loss=[0.5404962 0.6916182], test_acc=[0.82485 0.7678 ]
30/100: weights=[1.1473725  0.85262746], train_loss=[0.5422166  0.67367953], train_acc=[0.82574167 0.77294167], test_loss=[0.53068477 0.6806327 ], test_acc=[0.82755 0.7705 ]
32/100: weights=[1.2285306  0.77146935], train_loss=[0.5287637 0.6581445], train_acc=[0.82964167 0.7777    ], test_loss=[0.5175274 0.6656463], test_acc=[0.8327 0.7758]
34/100: weights=[0.97305787 1.0269421 ], train_loss=[0.51916957 0.6465543 ], train_acc=[0.83354167 0.780675  ], test_loss=[0.51133823 0.6510838 ], test_acc=[0.8326 0.7811]
36/100: weights=[1.2720509 0.7279492], train_loss=[0.507403  0.6327321], train_acc=[0.8366   0.786325], test_loss=[0.49794143 0.636243  ], test_acc=[0.83755 0.78585]
38/100: weights=[0.6814937 1.3185062], train_loss=[0.49439532 0.6192971 ], train_acc=[0.84024167 0.79083333], test_loss=[0.48660487 0.6249534 ], test_acc=[0.8415 0.7901]
40/100: weights=[1.309916 0.690084], train_loss=[0.48804408 0.60671914], train_acc=[0.84280833 0.7956    ], test_loss=[0.4799831 0.6123598], test_acc=[0.84525 0.7932 ]
42/100: weights=[1.0452513  0.95474875], train_loss=[0.4826032  0.60045207], train_acc=[0.84455    0.79751667], test_loss=[0.47536597 0.6037451 ], test_acc=[0.8462  0.79785]
44/100: weights=[1.0863812  0.91361874], train_loss=[0.46894598 0.59496367], train_acc=[0.84900833 0.79958333], test_loss=[0.4622008 0.6013827], test_acc=[0.84945 0.7966 ]
46/100: weights=[1.3149673  0.68503267], train_loss=[0.46158528 0.5875515 ], train_acc=[0.85059167 0.80120833], test_loss=[0.45535532 0.5928252 ], test_acc=[0.85295 0.80065]
48/100: weights=[1.1407162 0.8592838], train_loss=[0.454166  0.5720705], train_acc=[0.85315833 0.8076    ], test_loss=[0.44687575 0.57924163], test_acc=[0.85435 0.8056 ]
50/100: weights=[1.4804655 0.5195345], train_loss=[0.4514979  0.56493896], train_acc=[0.85445    0.80998333], test_loss=[0.44876805 0.5702783 ], test_acc=[0.85415 0.80985]
52/100: weights=[1.1141436  0.88585633], train_loss=[0.44563174 0.55649567], train_acc=[0.85598333 0.81238333], test_loss=[0.43784338 0.56164366], test_acc=[0.8591  0.81335]
54/100: weights=[1.0937946 0.9062054], train_loss=[0.43231514 0.54901683], train_acc=[0.859675   0.81518333], test_loss=[0.42683566 0.5548814 ], test_acc=[0.86145 0.8126 ]
56/100: weights=[1.1740683 0.8259316], train_loss=[0.4303783 0.5433111], train_acc=[0.86064167 0.81676667], test_loss=[0.42396557 0.5510505 ], test_acc=[0.863   0.81605]
58/100: weights=[0.7822973 1.2177027], train_loss=[0.42350447 0.5388273 ], train_acc=[0.86265833 0.818425  ], test_loss=[0.4222745 0.5435908], test_acc=[0.86165 0.8144 ]
60/100: weights=[0.42629522 1.5737047 ], train_loss=[0.41703466 0.5342338 ], train_acc=[0.86554167 0.82004167], test_loss=[0.4145606 0.5412433], test_acc=[0.86485 0.81795]
62/100: weights=[0.70622945 1.2937706 ], train_loss=[0.41439658 0.5257558 ], train_acc=[0.86475833 0.82210833], test_loss=[0.4117247 0.5321918], test_acc=[0.8672 0.8207]
64/100: weights=[0.8060964 1.1939037], train_loss=[0.40899032 0.52154416], train_acc=[0.8676     0.82424167], test_loss=[0.4076482 0.5266673], test_acc=[0.86575 0.82235]
66/100: weights=[1.2812413  0.71875876], train_loss=[0.4035238 0.5146789], train_acc=[0.86926667 0.82706667], test_loss=[0.40223795 0.522129  ], test_acc=[0.8698  0.82375]
68/100: weights=[1.2932066  0.70679337], train_loss=[0.3975979 0.5115228], train_acc=[0.87149167 0.82896667], test_loss=[0.39767167 0.5223146 ], test_acc=[0.87055 0.8257 ]
70/100: weights=[0.8525072 1.1474928], train_loss=[0.39821392 0.5059083 ], train_acc=[0.870575   0.82975833], test_loss=[0.39683187 0.5141654 ], test_acc=[0.87175 0.828  ]
72/100: weights=[1.0920236 0.9079764], train_loss=[0.38984627 0.50045776], train_acc=[0.87351667 0.83184167], test_loss=[0.3907831  0.50860626], test_acc=[0.87175 0.8277 ]
74/100: weights=[0.81625575 1.1837442 ], train_loss=[0.38525063 0.49478507], train_acc=[0.87525833 0.83335   ], test_loss=[0.38755417 0.50338185], test_acc=[0.873   0.82905]
76/100: weights=[0.6631021 1.3368979], train_loss=[0.38638437 0.49332798], train_acc=[0.87443333 0.83538333], test_loss=[0.39019454 0.50383514], test_acc=[0.8734  0.83115]
78/100: weights=[0.7188402 1.2811598], train_loss=[0.38092718 0.48735735], train_acc=[0.87641667 0.83635833], test_loss=[0.38408533 0.4957438 ], test_acc=[0.87445 0.8324 ]
80/100: weights=[0.8050971 1.1949029], train_loss=[0.37615395 0.48774612], train_acc=[0.87795    0.83553333], test_loss=[0.37953025 0.49689808], test_acc=[0.87695 0.8327 ]
82/100: weights=[1.1589233 0.8410768], train_loss=[0.37351298 0.4779945 ], train_acc=[0.87903333 0.83980833], test_loss=[0.37812212 0.48902035], test_acc=[0.8776 0.8351]
84/100: weights=[1.2827543  0.71724576], train_loss=[0.37409052 0.47697476], train_acc=[0.87845833 0.84025833], test_loss=[0.37996143 0.48615918], test_acc=[0.87595 0.8348 ]
86/100: weights=[1.0457971 0.9542029], train_loss=[0.36743757 0.46895647], train_acc=[0.8805 0.8427], test_loss=[0.3736165  0.47972524], test_acc=[0.8783 0.8389]
88/100: weights=[1.1396614 0.8603386], train_loss=[0.36564416 0.4667065 ], train_acc=[0.88155833 0.84298333], test_loss=[0.3697333  0.47841352], test_acc=[0.8804 0.8385]
90/100: weights=[1.3804412  0.61955875], train_loss=[0.36783436 0.46349958], train_acc=[0.88055833 0.844025  ], test_loss=[0.37716275 0.47338063], test_acc=[0.8766 0.841 ]
92/100: weights=[0.6081832 1.3918169], train_loss=[0.35932907 0.46304023], train_acc=[0.88349167 0.84405833], test_loss=[0.36573    0.47527134], test_acc=[0.8812  0.84095]
94/100: weights=[0.71351814 1.2864819 ], train_loss=[0.35796243 0.4602741 ], train_acc=[0.8836   0.845925], test_loss=[0.36588973 0.47467372], test_acc=[0.8804 0.8418]
96/100: weights=[0.58621746 1.4137825 ], train_loss=[0.355473   0.45404074], train_acc=[0.88456667 0.84684167], test_loss=[0.36287513 0.46685204], test_acc=[0.88185 0.844  ]
98/100: weights=[0.8980976 1.1019025], train_loss=[0.3538369 0.4528571], train_acc=[0.88539167 0.84795   ], test_loss=[0.36240357 0.46711883], test_acc=[0.8816  0.84415]
100/100: weights=[0.42820743 1.5717926 ], train_loss=[0.35942316 0.4500311 ], train_acc=[0.88325    0.84905833], test_loss=[0.36998904 0.46143168], test_acc=[0.8789 0.8446]
Reference vector (3/18): 0.9694003, 0.24548548
1/100: weights=[1.024121  0.9758789], train_loss=[1.8657398 2.059324 ], train_acc=[0.349275   0.27844167], test_loss=[1.8602123 2.0510583], test_acc=[0.35085 0.28655]
2/100: weights=[1.0073553  0.99264467], train_loss=[1.5347645 1.7865146], train_acc=[0.47596667 0.38375   ], test_loss=[1.5233564 1.7776536], test_acc=[0.4761  0.39115]
4/100: weights=[0.7340799 1.2659202], train_loss=[1.253304  1.4856759], train_acc=[0.57891667 0.49433333], test_loss=[1.232724  1.4714131], test_acc=[0.5835  0.49505]
6/100: weights=[1.0385523 0.9614477], train_loss=[1.1194773 1.3416498], train_acc=[0.62453333 0.54665833], test_loss=[1.0967292 1.3252367], test_acc=[0.6292 0.5497]
8/100: weights=[0.9650327 1.0349673], train_loss=[1.0183922 1.2601494], train_acc=[0.66124167 0.57468333], test_loss=[0.9921085 1.24173  ], test_acc=[0.6668 0.579 ]
10/100: weights=[0.8978505 1.1021495], train_loss=[0.94972295 1.1973689 ], train_acc=[0.68601667 0.59550833], test_loss=[0.92490894 1.1800603 ], test_acc=[0.69075 0.6012 ]
12/100: weights=[0.64482117 1.3551788 ], train_loss=[0.89117914 1.1410288 ], train_acc=[0.70863333 0.61501667], test_loss=[0.8670691 1.1231306], test_acc=[0.7124  0.61915]
14/100: weights=[0.76989794 1.2301021 ], train_loss=[0.8414459 1.0925653], train_acc=[0.72514167 0.631625  ], test_loss=[0.8162569 1.0762011], test_acc=[0.7302 0.637 ]
16/100: weights=[1.0881726 0.9118275], train_loss=[0.8022403 1.0523378], train_acc=[0.73858333 0.645175  ], test_loss=[0.7763743 1.0358448], test_acc=[0.74375 0.64985]
18/100: weights=[1.137277   0.86272293], train_loss=[0.76999784 1.016834  ], train_acc=[0.75054167 0.65725833], test_loss=[0.74638873 1.0031308 ], test_acc=[0.75765 0.66165]
20/100: weights=[0.6669117 1.3330883], train_loss=[0.7410232 0.9826257], train_acc=[0.75936667 0.66848333], test_loss=[0.7171034  0.96726835], test_acc=[0.76565 0.6753 ]
22/100: weights=[1.0115083 0.9884916], train_loss=[0.71925694 0.95749515], train_acc=[0.76645    0.67668333], test_loss=[0.6942022  0.94453204], test_acc=[0.7739  0.68115]
24/100: weights=[1.2949297  0.70507026], train_loss=[0.70249915 0.9271032 ], train_acc=[0.77296667 0.6869    ], test_loss=[0.6812337 0.9147677], test_acc=[0.7795 0.691 ]
26/100: weights=[0.7568458 1.2431543], train_loss=[0.67464864 0.9081166 ], train_acc=[0.781825   0.69291667], test_loss=[0.6527532 0.8957815], test_acc=[0.789  0.6989]
28/100: weights=[0.49321172 1.5067883 ], train_loss=[0.6635574  0.88608515], train_acc=[0.7856     0.70049167], test_loss=[0.6416565 0.8750655], test_acc=[0.79375 0.70675]
30/100: weights=[1.0349684 0.9650316], train_loss=[0.6471412 0.8657884], train_acc=[0.791125   0.70811667], test_loss=[0.6261709 0.8579236], test_acc=[0.79805 0.7135 ]
32/100: weights=[1.4772996  0.52270037], train_loss=[0.6362915 0.8517384], train_acc=[0.7945     0.71150833], test_loss=[0.6159007  0.83848816], test_acc=[0.8007  0.71895]
34/100: weights=[1.4069166 0.5930834], train_loss=[0.62051815 0.832909  ], train_acc=[0.80011667 0.717675  ], test_loss=[0.6011736 0.8249701], test_acc=[0.80605 0.72315]
36/100: weights=[1.2162936 0.7837064], train_loss=[0.61828876 0.8122822 ], train_acc=[0.800925 0.724425], test_loss=[0.60203505 0.801251  ], test_acc=[0.8064  0.73025]
38/100: weights=[0.45150447 1.5484955 ], train_loss=[0.6005171 0.802624 ], train_acc=[0.805525 0.7303  ], test_loss=[0.58304626 0.7982582 ], test_acc=[0.8114 0.7342]
40/100: weights=[0.88406307 1.1159369 ], train_loss=[0.59240144 0.78395027], train_acc=[0.8082     0.73531667], test_loss=[0.57478446 0.7772346 ], test_acc=[0.81425 0.73925]
42/100: weights=[0.56426513 1.4357349 ], train_loss=[0.583161  0.7731677], train_acc=[0.81063333 0.73941667], test_loss=[0.5647508  0.76498276], test_acc=[0.8169  0.74275]
44/100: weights=[0.83231163 1.1676884 ], train_loss=[0.5729076  0.76023686], train_acc=[0.81445833 0.74439167], test_loss=[0.5564516 0.7544245], test_acc=[0.81895 0.74905]
46/100: weights=[1.5571065  0.44289353], train_loss=[0.56625825 0.74843395], train_acc=[0.816325 0.747825], test_loss=[0.55022365 0.74183273], test_acc=[0.82095 0.7514 ]
48/100: weights=[1.5992981  0.40070188], train_loss=[0.5591704 0.7382909], train_acc=[0.81858333 0.75128333], test_loss=[0.5448365 0.7339903], test_acc=[0.8234  0.75515]
50/100: weights=[0.91079676 1.0892032 ], train_loss=[0.55701727 0.7317307 ], train_acc=[0.81915833 0.75239167], test_loss=[0.54101783 0.7244278 ], test_acc=[0.82345 0.75725]
52/100: weights=[1.1524302 0.8475699], train_loss=[0.5467412  0.71889347], train_acc=[0.82278333 0.75705833], test_loss=[0.53343576 0.7124331 ], test_acc=[0.82735 0.76225]
54/100: weights=[1.0530566 0.9469434], train_loss=[0.5444855 0.7169242], train_acc=[0.82335    0.75771667], test_loss=[0.53103834 0.7132392 ], test_acc=[0.827   0.76155]
56/100: weights=[1.207264   0.79273605], train_loss=[0.5364197 0.7032247], train_acc=[0.825875   0.76245833], test_loss=[0.5226884 0.6978132], test_acc=[0.82955 0.76615]
58/100: weights=[0.6890176 1.3109825], train_loss=[0.5292919  0.69592524], train_acc=[0.828175   0.76473333], test_loss=[0.51567715 0.69054306], test_acc=[0.8323  0.76805]
60/100: weights=[1.0557011  0.94429886], train_loss=[0.52693826 0.68920565], train_acc=[0.828675   0.76776667], test_loss=[0.5138206 0.6860977], test_acc=[0.8317 0.7709]
62/100: weights=[0.68062353 1.3193765 ], train_loss=[0.52240425 0.6815184 ], train_acc=[0.830575 0.769625], test_loss=[0.50947165 0.6778804 ], test_acc=[0.83355 0.77345]
64/100: weights=[1.4001229  0.59987706], train_loss=[0.520606   0.67478204], train_acc=[0.830525   0.77203333], test_loss=[0.5082515 0.6719117], test_acc=[0.83365 0.7761 ]
66/100: weights=[0.82774264 1.1722574 ], train_loss=[0.5112988 0.6730912], train_acc=[0.83405833 0.77183333], test_loss=[0.50020325 0.66769964], test_acc=[0.83735 0.7746 ]
68/100: weights=[0.82631403 1.173686  ], train_loss=[0.50967103 0.6644937 ], train_acc=[0.83433333 0.77565833], test_loss=[0.49823573 0.6599885 ], test_acc=[0.8378 0.7787]
70/100: weights=[0.84963757 1.1503624 ], train_loss=[0.50679016 0.6593486 ], train_acc=[0.835175 0.777275], test_loss=[0.4945849 0.6568945], test_acc=[0.83965 0.7803 ]
72/100: weights=[1.0760906 0.9239094], train_loss=[0.50111204 0.65360713], train_acc=[0.83728333 0.77960833], test_loss=[0.48929104 0.6518242 ], test_acc=[0.8408 0.7814]
74/100: weights=[1.3294549  0.67054516], train_loss=[0.4980049 0.6476944], train_acc=[0.83835833 0.78168333], test_loss=[0.4869134 0.6461136], test_acc=[0.8429 0.7822]
76/100: weights=[1.2149131 0.7850868], train_loss=[0.49197674 0.6429549 ], train_acc=[0.8404  0.78285], test_loss=[0.4823035 0.6387481], test_acc=[0.8432 0.7849]
78/100: weights=[0.72243863 1.2775614 ], train_loss=[0.48963806 0.63793933], train_acc=[0.84174167 0.78385   ], test_loss=[0.4797331 0.6342699], test_acc=[0.84485 0.7869 ]
80/100: weights=[1.6457142  0.35428587], train_loss=[0.4840185 0.6310321], train_acc=[0.84315833 0.78651667], test_loss=[0.47415143 0.62669605], test_acc=[0.8471  0.79075]
82/100: weights=[0.755506  1.2444941], train_loss=[0.4819882 0.6284769], train_acc=[0.84363333 0.78823333], test_loss=[0.4734954 0.626522 ], test_acc=[0.8466  0.79095]
84/100: weights=[0.9481842 1.0518157], train_loss=[0.47956467 0.6251547 ], train_acc=[0.84450833 0.78835833], test_loss=[0.47042602 0.61905986], test_acc=[0.84595 0.79235]
86/100: weights=[0.40749723 1.5925028 ], train_loss=[0.48005003 0.6298173 ], train_acc=[0.84496667 0.7873    ], test_loss=[0.47000548 0.62888783], test_acc=[0.84735 0.7897 ]
88/100: weights=[1.0512017 0.9487983], train_loss=[0.4730329 0.6124489], train_acc=[0.847375 0.793975], test_loss=[0.46336037 0.61105   ], test_acc=[0.84835 0.79535]
90/100: weights=[1.468576 0.531424], train_loss=[0.4735889 0.6124779], train_acc=[0.84745  0.794475], test_loss=[0.46511373 0.61180735], test_acc=[0.8491 0.795 ]
92/100: weights=[1.1237051  0.87629485], train_loss=[0.46793437 0.6041034 ], train_acc=[0.84898333 0.796175  ], test_loss=[0.45962295 0.6013158 ], test_acc=[0.85065 0.79745]
