Reference vector (1/18): 0.9965845, 0.082579345
kappa to 0
kappa to 0
1/100: weights=[1.9617672  0.03823283], train_loss=[2.0726743 2.4476614], train_acc=[0.24523333 0.11563333], test_loss=[2.076632  2.4531908], test_acc=[0.24685 0.1172 ]
Reference vector (2/18): 0.9863613, 0.16459459
1/100: weights=[1.939791   0.06020901], train_loss=[1.8132476 2.5683398], train_acc=[0.38995    0.13388333], test_loss=[1.8067303 2.5497878], test_acc=[0.39055 0.13655]
2/100: weights=[1.9454722  0.05452772], train_loss=[1.4726259 2.721969 ], train_acc=[0.514825   0.14185833], test_loss=[1.4607488 2.7016182], test_acc=[0.52005 0.1477 ]
4/100: weights=[1.9929029  0.00709715], train_loss=[1.1280013 2.6939933], train_acc=[0.62926667 0.16540833], test_loss=[1.1154275 2.6842558], test_acc=[0.6312 0.1679]
6/100: weights=[1.9968139  0.00318615], train_loss=[0.9249858 2.5726655], train_acc=[0.698225 0.1841  ], test_loss=[0.91107905 2.567335  ], test_acc=[0.70495 0.18295]
8/100: weights=[1.998 0.002], train_loss=[0.802766  2.4504178], train_acc=[0.7382     0.20885833], test_loss=[0.78963405 2.445969  ], test_acc=[0.74385 0.20635]
10/100: weights=[1.9864082  0.01359172], train_loss=[0.7213018 2.3677247], train_acc=[0.76671667 0.22413333], test_loss=[0.7114477 2.3623817], test_acc=[0.76925 0.22135]
12/100: weights=[1.9260478  0.07395218], train_loss=[0.66495323 2.2790165 ], train_acc=[0.78520833 0.246175  ], test_loss=[0.6546064 2.2752736], test_acc=[0.7893 0.2459]
14/100: weights=[1.9948634  0.00513658], train_loss=[0.63222307 2.186581  ], train_acc=[0.7962  0.26585], test_loss=[0.6218785 2.1819034], test_acc=[0.8006 0.2646]
16/100: weights=[1.9657356 0.0342644], train_loss=[0.6014015 2.1229942], train_acc=[0.80644167 0.28494167], test_loss=[0.5937824 2.1165807], test_acc=[0.80865 0.2855 ]
18/100: weights=[1.885207   0.11479294], train_loss=[0.6021505 2.0381851], train_acc=[0.8056  0.30795], test_loss=[0.5997612 2.0324638], test_acc=[0.805 0.307]
20/100: weights=[1.998 0.002], train_loss=[0.5598535 1.9428961], train_acc=[0.81924167 0.3315    ], test_loss=[0.55359614 1.9371895 ], test_acc=[0.8231 0.3323]
22/100: weights=[1.9822879  0.01771215], train_loss=[0.5580052 1.885731 ], train_acc=[0.82075833 0.34885   ], test_loss=[0.5529042 1.8830123], test_acc=[0.82375 0.3477 ]
24/100: weights=[1.9830731  0.01692685], train_loss=[0.52653384 1.823819  ], train_acc=[0.830525   0.36974167], test_loss=[0.5227348 1.8191463], test_acc=[0.8304  0.37045]
26/100: weights=[1.9482279  0.05177211], train_loss=[0.50785357 1.7679956 ], train_acc=[0.83596667 0.38754167], test_loss=[0.503016  1.7594688], test_acc=[0.8383  0.38755]
28/100: weights=[1.9512472  0.04875283], train_loss=[0.4938318 1.7040197], train_acc=[0.84098333 0.40598333], test_loss=[0.4908992 1.6932862], test_acc=[0.84195 0.41025]
30/100: weights=[1.998 0.002], train_loss=[0.4910991 1.6542696], train_acc=[0.84203333 0.42206667], test_loss=[0.48502535 1.6471477 ], test_acc=[0.84465 0.427  ]
32/100: weights=[1.998 0.002], train_loss=[0.48554516 1.6034707 ], train_acc=[0.843175   0.43798333], test_loss=[0.48127115 1.5964551 ], test_acc=[0.8427  0.44185]
34/100: weights=[1.9951533  0.00484667], train_loss=[0.5013074 1.5780566], train_acc=[0.83763333 0.45158333], test_loss=[0.5022227 1.5647568], test_acc=[0.8382 0.4563]
36/100: weights=[1.9982116e+00 1.7883916e-03], train_loss=[0.45479614 1.5244131 ], train_acc=[0.85395833 0.46585   ], test_loss=[0.4562008 1.5173903], test_acc=[0.8545  0.46775]
38/100: weights=[1.9968066  0.00319343], train_loss=[0.44708848 1.4761723 ], train_acc=[0.8564     0.48193333], test_loss=[0.4498038 1.4716327], test_acc=[0.8546  0.48585]
40/100: weights=[1.998 0.002], train_loss=[0.44967678 1.4541131 ], train_acc=[0.85486667 0.49011667], test_loss=[0.44770524 1.4505895 ], test_acc=[0.857  0.4939]
42/100: weights=[1.998 0.002], train_loss=[0.6590183 1.4471362], train_acc=[0.79343333 0.49470833], test_loss=[0.6429256 1.4480971], test_acc=[0.7948  0.49765]
44/100: weights=[1.972375   0.02762502], train_loss=[0.44260448 1.3716745 ], train_acc=[0.85753333 0.51855833], test_loss=[0.43960264 1.3649875 ], test_acc=[0.85935 0.52335]
46/100: weights=[1.9555272 0.0444728], train_loss=[0.4163806 1.3385078], train_acc=[0.86584167 0.53038333], test_loss=[0.41832492 1.33372   ], test_acc=[0.8646 0.534 ]
48/100: weights=[1.8952283  0.10477178], train_loss=[0.41581482 1.3213731 ], train_acc=[0.86628333 0.53541667], test_loss=[0.4185192 1.313751 ], test_acc=[0.8641 0.5398]
50/100: weights=[1.89872    0.10127996], train_loss=[0.42933717 1.2837247 ], train_acc=[0.861825   0.55051667], test_loss=[0.4378701 1.2766849], test_acc=[0.8575 0.5541]
52/100: weights=[1.998 0.002], train_loss=[0.42263228 1.265444  ], train_acc=[0.86345833 0.55666667], test_loss=[0.4322764 1.263513 ], test_acc=[0.85995 0.5585 ]
54/100: weights=[1.9186695 0.0813306], train_loss=[0.3919631 1.238621 ], train_acc=[0.87360833 0.56645833], test_loss=[0.39886728 1.2340201 ], test_acc=[0.86905 0.5671 ]
56/100: weights=[1.9540327  0.04596738], train_loss=[0.39552298 1.2173599 ], train_acc=[0.87221667 0.572575  ], test_loss=[0.39928278 1.2150036 ], test_acc=[0.8682 0.5722]
58/100: weights=[1.9608808  0.03911929], train_loss=[0.38838   1.1948513], train_acc=[0.8747     0.58208333], test_loss=[0.3959131 1.1904291], test_acc=[0.87095 0.58225]
60/100: weights=[1.9044507  0.09554931], train_loss=[0.38427535 1.1701826 ], train_acc=[0.8761     0.59139167], test_loss=[0.39452606 1.1665572 ], test_acc=[0.8704  0.59195]
62/100: weights=[1.9788393  0.02116068], train_loss=[0.37655583 1.1459149 ], train_acc=[0.878625   0.60034167], test_loss=[0.38517317 1.1429799 ], test_acc=[0.87255 0.5997 ]
64/100: weights=[1.9618895  0.03811051], train_loss=[0.37619448 1.1256329 ], train_acc=[0.87866667 0.6079    ], test_loss=[0.3868116 1.1231055], test_acc=[0.8719 0.6089]
66/100: weights=[1.998 0.002], train_loss=[0.42844552 1.1315986 ], train_acc=[0.86045    0.60309167], test_loss=[0.43715793 1.1219797 ], test_acc=[0.85705 0.6082 ]
68/100: weights=[1.9498767  0.05012333], train_loss=[0.36568496 1.0898906 ], train_acc=[0.88191667 0.620025  ], test_loss=[0.37608662 1.0855491 ], test_acc=[0.8751  0.62125]
70/100: weights=[1.9631443  0.03685568], train_loss=[0.371826  1.0787921], train_acc=[0.87990833 0.62403333], test_loss=[0.3812505 1.0725148], test_acc=[0.87325 0.6249 ]
72/100: weights=[1.998 0.002], train_loss=[0.46297026 1.0768131 ], train_acc=[0.85313333 0.62476667], test_loss=[0.463141  1.0739758], test_acc=[0.85295 0.62485]
74/100: weights=[1.9869767 0.0130232], train_loss=[0.35285848 1.0473614 ], train_acc=[0.886175   0.63496667], test_loss=[0.3645092 1.041875 ], test_acc=[0.87935 0.6371 ]
76/100: weights=[1.998 0.002], train_loss=[0.39797667 1.041965  ], train_acc=[0.870725   0.63624167], test_loss=[0.41238433 1.0329292 ], test_acc=[0.86395 0.644  ]
78/100: weights=[1.9664199  0.03358007], train_loss=[0.35133055 1.0167183 ], train_acc=[0.886025   0.64744167], test_loss=[0.36368877 1.0122898 ], test_acc=[0.87835 0.65215]
80/100: weights=[1.9732666  0.02673341], train_loss=[0.3441395  0.99800456], train_acc=[0.88923333 0.6547    ], test_loss=[0.3560345  0.99013114], test_acc=[0.88145 0.6582 ]
82/100: weights=[1.951257   0.04874296], train_loss=[0.3441714 0.985641 ], train_acc=[0.888375   0.65921667], test_loss=[0.3574417 0.9784981], test_acc=[0.88115 0.6634 ]
84/100: weights=[1.9615034  0.03849661], train_loss=[0.3408921 0.9713188], train_acc=[0.89036667 0.66515   ], test_loss=[0.3530694 0.962323 ], test_acc=[0.88265 0.6694 ]
86/100: weights=[1.9650105  0.03498953], train_loss=[0.33890882 0.9608642 ], train_acc=[0.890625   0.66894167], test_loss=[0.35079557 0.9530591 ], test_acc=[0.8845 0.6735]
88/100: weights=[1.998 0.002], train_loss=[0.349704  0.9524936], train_acc=[0.88769167 0.67345833], test_loss=[0.36986712 0.94619495], test_acc=[0.8785  0.67775]
90/100: weights=[1.9827319  0.01726805], train_loss=[0.32964873 0.9356567 ], train_acc=[0.89336667 0.67898333], test_loss=[0.34554264 0.9297412 ], test_acc=[0.8847 0.6829]
92/100: weights=[1.9660692  0.03393081], train_loss=[0.32582855 0.92533207], train_acc=[0.89479167 0.68264167], test_loss=[0.34210294 0.9169416 ], test_acc=[0.8858  0.68815]
94/100: weights=[1.9613284  0.03867164], train_loss=[0.32395762 0.91637444], train_acc=[0.89568333 0.68559167], test_loss=[0.34073064 0.906547  ], test_acc=[0.8871 0.6911]
96/100: weights=[1.998 0.002], train_loss=[0.33872113 0.9134716 ], train_acc=[0.88995    0.68443333], test_loss=[0.35631987 0.901934  ], test_acc=[0.8816 0.6933]
98/100: weights=[1.98867    0.01133001], train_loss=[0.323931  0.8972147], train_acc=[0.895475   0.69150833], test_loss=[0.33975378 0.8869496 ], test_acc=[0.8876 0.7007]
100/100: weights=[1.9553027  0.04469733], train_loss=[0.31748113 0.88483137], train_acc=[0.89741667 0.697     ], test_loss=[0.33641756 0.8768899 ], test_acc=[0.8879  0.70335]
Reference vector (3/18): 0.9694003, 0.24548548
1/100: weights=[1.8795439  0.12045615], train_loss=[1.1936506 2.343477 ], train_acc=[0.60515    0.20976667], test_loss=[1.1876264 2.3323562], test_acc=[0.60825 0.20765]
2/100: weights=[1.9388942 0.0611059], train_loss=[0.93648076 2.2356963 ], train_acc=[0.693875   0.25686667], test_loss=[0.93437254 2.2255428 ], test_acc=[0.69455 0.25585]
4/100: weights=[1.8251529  0.17484711], train_loss=[0.73609114 1.9461521 ], train_acc=[0.76063333 0.347425  ], test_loss=[0.73027915 1.9389944 ], test_acc=[0.7624  0.35025]
6/100: weights=[1.9828588  0.01714127], train_loss=[0.6508463 1.7083113], train_acc=[0.789575 0.419175], test_loss=[0.6425872 1.6985458], test_acc=[0.79005 0.42195]
8/100: weights=[1.944189   0.05581105], train_loss=[0.6033768 1.5531669], train_acc=[0.804975 0.47255 ], test_loss=[0.59574354 1.5435009 ], test_acc=[0.8027 0.4753]
10/100: weights=[1.9159713  0.08402869], train_loss=[0.5693431 1.4370407], train_acc=[0.81458333 0.51315833], test_loss=[0.5597677 1.4242083], test_acc=[0.81645 0.5163 ]
12/100: weights=[1.9398912  0.06010881], train_loss=[0.54814476 1.3260577 ], train_acc=[0.82173333 0.554225  ], test_loss=[0.53835493 1.3153986 ], test_acc=[0.82225 0.55555]
14/100: weights=[1.9409792  0.05902071], train_loss=[0.52564436 1.2383245 ], train_acc=[0.82925    0.58508333], test_loss=[0.5177884 1.2267634], test_acc=[0.829   0.58965]
16/100: weights=[1.998 0.002], train_loss=[0.5125187 1.1760153], train_acc=[0.83338333 0.60541667], test_loss=[0.5052417 1.1616958], test_acc=[0.83355 0.6112 ]
18/100: weights=[1.9408078  0.05919222], train_loss=[0.49197176 1.1159973 ], train_acc=[0.84055833 0.62668333], test_loss=[0.48351613 1.1005391 ], test_acc=[0.8418 0.6328]
20/100: weights=[1.9152969  0.08470307], train_loss=[0.47983265 1.0652127 ], train_acc=[0.843875 0.644225], test_loss=[0.47297853 1.0481654 ], test_acc=[0.84585 0.6507 ]
22/100: weights=[1.5661118  0.43388817], train_loss=[0.4736834 1.0259056], train_acc=[0.84566667 0.65749167], test_loss=[0.46951014 1.0095727 ], test_acc=[0.84645 0.66245]
24/100: weights=[1.7746655  0.22533454], train_loss=[0.4572239 0.9894308], train_acc=[0.85136667 0.6703    ], test_loss=[0.45228046 0.9707215 ], test_acc=[0.85275 0.6766 ]
26/100: weights=[1.7609328  0.23906717], train_loss=[0.45726478 0.96012294], train_acc=[0.85096667 0.67925833], test_loss=[0.4539857  0.94073045], test_acc=[0.85215 0.68705]
28/100: weights=[1.9543045  0.04569555], train_loss=[0.45635474 0.9307188 ], train_acc=[0.85103333 0.68919167], test_loss=[0.45124015 0.9115222 ], test_acc=[0.8519 0.6957]
30/100: weights=[1.9349668  0.06503324], train_loss=[0.43534243 0.9010676 ], train_acc=[0.85861667 0.699     ], test_loss=[0.43062907 0.8798798 ], test_acc=[0.85975 0.7074 ]
32/100: weights=[1.9055028  0.09449717], train_loss=[0.42300552 0.88106114], train_acc=[0.86298333 0.70628333], test_loss=[0.4186438  0.86212593], test_acc=[0.8633  0.71455]
34/100: weights=[1.8149811 0.1850189], train_loss=[0.41945314 0.8586896 ], train_acc=[0.86406667 0.71391667], test_loss=[0.41940454 0.83761483], test_acc=[0.86075 0.72165]
36/100: weights=[1.8674304  0.13256952], train_loss=[0.41450778 0.8397588 ], train_acc=[0.86525833 0.72028333], test_loss=[0.4137019  0.81888044], test_acc=[0.8658  0.72725]
38/100: weights=[1.8859502  0.11404984], train_loss=[0.40922517 0.8260325 ], train_acc=[0.86743333 0.72490833], test_loss=[0.4055681  0.80538964], test_acc=[0.86695 0.72945]
40/100: weights=[1.8936483  0.10635169], train_loss=[0.39466426 0.8085571 ], train_acc=[0.87189167 0.730775  ], test_loss=[0.39633864 0.7851383 ], test_acc=[0.8712 0.7357]
42/100: weights=[1.7237148  0.27628514], train_loss=[0.39437255 0.794507  ], train_acc=[0.8722     0.73475833], test_loss=[0.39689144 0.7722378 ], test_acc=[0.8697  0.74205]
44/100: weights=[1.785087   0.21491307], train_loss=[0.40195635 0.774497  ], train_acc=[0.86965833 0.74256667], test_loss=[0.40316617 0.7527033 ], test_acc=[0.86615 0.749  ]
46/100: weights=[1.9298214  0.07017858], train_loss=[0.38274804 0.7637704 ], train_acc=[0.875525   0.74574167], test_loss=[0.3870327 0.7434061], test_acc=[0.87265 0.7512 ]
48/100: weights=[1.8434302  0.15656982], train_loss=[0.377056  0.7486098], train_acc=[0.87815    0.75085833], test_loss=[0.3799549 0.7258171], test_acc=[0.8766 0.7574]
50/100: weights=[1.744779   0.25522107], train_loss=[0.37977794 0.74635106], train_acc=[0.87701667 0.75221667], test_loss=[0.3854325 0.7267756], test_acc=[0.87445 0.75665]
52/100: weights=[1.911962   0.08803791], train_loss=[0.3653015 0.7263046], train_acc=[0.88165833 0.75784167], test_loss=[0.37162215 0.7047359 ], test_acc=[0.8787 0.765 ]
54/100: weights=[1.8205615  0.17943846], train_loss=[0.36142018 0.7160503 ], train_acc=[0.88321667 0.76155   ], test_loss=[0.365555   0.69602203], test_acc=[0.8819 0.767 ]
56/100: weights=[1.904801   0.09519895], train_loss=[0.35689175 0.7058629 ], train_acc=[0.88426667 0.765     ], test_loss=[0.36408496 0.6844194 ], test_acc=[0.88145 0.77075]
58/100: weights=[1.9547445  0.04525551], train_loss=[0.35938358 0.69723964], train_acc=[0.88365833 0.767275  ], test_loss=[0.3689866  0.67541564], test_acc=[0.8805  0.77395]
60/100: weights=[1.5658376 0.4341624], train_loss=[0.34812427 0.6891684 ], train_acc=[0.887825   0.77093333], test_loss=[0.35622087 0.66954255], test_acc=[0.8846  0.77625]
62/100: weights=[1.9771148  0.02288518], train_loss=[0.34749046 0.68130696], train_acc=[0.88801667 0.77285833], test_loss=[0.35632437 0.66130394], test_acc=[0.88385 0.77895]
64/100: weights=[1.8786608  0.12133925], train_loss=[0.3450677 0.674512 ], train_acc=[0.88813333 0.77491667], test_loss=[0.35676917 0.65510225], test_acc=[0.8826  0.78235]
66/100: weights=[1.9072495  0.09275059], train_loss=[0.33833674 0.6621363 ], train_acc=[0.89129167 0.77899167], test_loss=[0.3490323 0.643005 ], test_acc=[0.8854  0.78615]
68/100: weights=[1.9993708e+00 6.2917173e-04], train_loss=[0.33806157 0.6536116 ], train_acc=[0.890675 0.782325], test_loss=[0.3487378 0.6340939], test_acc=[0.8859 0.7889]
70/100: weights=[1.9598634  0.04013656], train_loss=[0.3322253  0.64870113], train_acc=[0.89264167 0.78484167], test_loss=[0.34294102 0.6317815 ], test_acc=[0.88625 0.78915]
72/100: weights=[1.8607957  0.13920428], train_loss=[0.3726242 0.6444525], train_acc=[0.87856667 0.78493333], test_loss=[0.38720664 0.62481636], test_acc=[0.87245 0.79005]
74/100: weights=[1.9575886  0.04241146], train_loss=[0.32291007 0.63417584], train_acc=[0.89586667 0.78889167], test_loss=[0.3353941 0.6174841], test_acc=[0.89015 0.7924 ]
76/100: weights=[1.8786483  0.12135176], train_loss=[0.3203678 0.6258359], train_acc=[0.89670833 0.79135   ], test_loss=[0.334865   0.60905224], test_acc=[0.8904  0.79665]
78/100: weights=[1.9551566  0.04484348], train_loss=[0.323602   0.62183684], train_acc=[0.89554167 0.79274167], test_loss=[0.3379528 0.6060309], test_acc=[0.8883  0.79875]
80/100: weights=[1.9347569  0.06524315], train_loss=[0.32300696 0.6154006 ], train_acc=[0.895375   0.79468333], test_loss=[0.33399323 0.60011303], test_acc=[0.89055 0.8004 ]
82/100: weights=[1.9098449  0.09015509], train_loss=[0.31312445 0.6095953 ], train_acc=[0.89855833 0.79686667], test_loss=[0.3267068  0.59446496], test_acc=[0.89315 0.8018 ]
84/100: weights=[1.9577237  0.04227628], train_loss=[0.32113454 0.6056574 ], train_acc=[0.896175   0.79811667], test_loss=[0.33623275 0.59019303], test_acc=[0.89075 0.8036 ]
86/100: weights=[1.7638848 0.2361152], train_loss=[0.3128086  0.59580386], train_acc=[0.89885 0.80245], test_loss=[0.33006182 0.5823724 ], test_acc=[0.8905  0.80545]
88/100: weights=[1.9000832  0.09991688], train_loss=[0.30411696 0.5882233 ], train_acc=[0.90185833 0.805     ], test_loss=[0.32013255 0.57481134], test_acc=[0.89375 0.8079 ]
90/100: weights=[1.9203141 0.0796859], train_loss=[0.30694705 0.5836696 ], train_acc=[0.90089167 0.80625   ], test_loss=[0.32033062 0.5716923 ], test_acc=[0.8972 0.8093]
92/100: weights=[1.8205894  0.17941053], train_loss=[0.30788726 0.58129364], train_acc=[0.89951667 0.80686667], test_loss=[0.3250989  0.56761485], test_acc=[0.8943 0.8104]
